,maker_num,model_num,detail_num,cost,exchange
118,97,105,106,370818,"Rear bumper:coating,exchange"
119,1,20,21,358819,"Bumper:coating,exchange"
120,97,150,152,392049,"Bumper:coating,exchange"
121,97,144,148,219779,"Rear bumper:coating,exchange"
122,97,105,106,360858,"Rear bumper:coating,exchange"
123,1,8,34,411494,"Rear bumper:coating,exchange"
124,1,15,39,95970,Bumper:exchange
125,1,8,34,368748,"Rear bumper:coating,exchange"
126,97,114,115,303948,"Front bumper:exchange,coating"
127,1,13,42,531298,"Rear bumper:coating,exchange"
128,1,28,28,810833,"Bumper:coating,exchange"
129,71,75,79,583798,"Rear bumper:coating,exchange"
130,1,8,34,301568,"Front bumper:exchange,coating"
131,1,22,23,209318,"Front bumper:exchange,coating"
132,97,97,97,375568,"Front bumper:exchange,coating"
133,1,15,40,641258,"Front bumper:exchange,coating"
134,97,105,130,315088,"Front bumper:exchange,coating"
135,1,15,40,379818,"Front bumper:exchange,coating"
136,1,22,23,224298,"Rear bumper:coating,exchange"
137,1,20,20,326898,"Rear bumper:coating,exchange"
138,1,15,39,259289,"Bumper:coating,exchange"
139,97,114,149,874969,"Bumper:coating,exchange"
140,1,25,26,880896,"Front bumper:exchange,coating"
141,97,118,121,158039,"Rear bumper:coating,exchange"
142,81,82,88,395038,"Front bumper:exchange,coating"
143,97,114,149,366809,"Rear bumper:coating,exchange"
144,1,4,5,294868,"Rear bumper:coating,exchange"
145,1,27,27,244239,"Bumper:coating,exchange"
146,97,144,148,613309,"Rear bumper:coating,exchange"
147,1,14,38,500328,"Rear bumper:coating,exchange"
148,97,144,145,237809,"Rear bumper:coating,exchange"
149,1,10,12,441839,"Rear bumper:coating,exchange"
150,97,118,126,459839,"Rear bumper:coating,exchange"
151,71,75,78,502318,"Rear bumper:coating,exchange"
152,97,144,145,298089,"Bumper:coating,exchange"
153,1,18,49,359681,"Front bumper:exchange,coating"
154,1,18,49,292751,"Front bumper:exchange,coating"
155,97,118,119,214139,"Bumper:coating,exchange"
156,1,15,39,501049,"Rear bumper:coating,exchange"
157,97,105,130,394718,"Rear bumper:coating,exchange"
158,1,8,34,609618,"Front bumper:exchange,coating"
159,1,8,34,301568,"Front bumper:exchange,coating"
160,97,144,145,275189,"Bumper:coating,exchange"
