,maker,model,detail,category_id,cnt,cost_total,repair,exchange,repaired
1776,기아,쏘렌토,올뉴쏘렌토,as-0037832,21469.0,196088.0,Front bumper:coating,,Front bumper:coating
1777,기아,쏘렌토,올뉴쏘렌토,as-0038071,21631.0,219261.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1778,기아,쏘렌토,올뉴쏘렌토,as-0039117,22224.0,277606.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1779,기아,쏘렌토,올뉴쏘렌토,as-0040220,22965.0,643752.0,Front bumper:repair;Bumper:coating,,Front bumper:repair;Bumper:coating
1780,기아,쏘렌토,올뉴쏘렌토,as-0040263,22995.0,795509.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1781,기아,쏘렌토,올뉴쏘렌토,as-0040594,23235.0,613249.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1782,기아,쏘렌토,올뉴쏘렌토,as-0041025,23544.0,292582.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1783,기아,쏘렌토,올뉴쏘렌토,as-0041062,23569.0,590531.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1784,기아,쏘렌토,올뉴쏘렌토,as-0041245,23688.0,196999.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1785,기아,쏘렌토,올뉴쏘렌토,as-0041376,23770.0,234618.0,"Bumper:coating,repair,exchange","Bumper:coating,repair,exchange",
1786,기아,쏘렌토,올뉴쏘렌토,as-0041463,23829.0,489998.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1787,기아,쏘렌토,올뉴쏘렌토,as-0041632,23927.0,319442.0,"Front bumper:repair;Bumper:coating,exchange","Front bumper:repair;Bumper:coating,exchange",
1788,기아,쏘렌토,올뉴쏘렌토,as-0041654,23940.0,796869.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1789,기아,쏘렌토,올뉴쏘렌토,as-0041698,23972.0,449889.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1790,기아,쏘렌토,올뉴쏘렌토,as-0041847,24069.0,312378.0,"Bumper:coating,repair,exchange","Bumper:coating,repair,exchange",
1791,기아,쏘렌토,올뉴쏘렌토,as-0042215,24294.0,346459.0,"Bumper:coating,exchange","Bumper:coating,exchange",
1792,기아,쏘렌토,올뉴쏘렌토,as-0044133,25115.0,323160.0,"Front bumper:repair,coating",,"Front bumper:repair,coating"
1793,기아,쏘렌토,올뉴쏘렌토,as-0045777,25950.0,456510.0,Wheel:exchange,Wheel:exchange,
