category_id,cnt,maker,model,detail,model_detail,cost_wages,cost_repairparts,cost_total,part,repair
as-0076499,44613,기아,모닝,올 뉴 모닝(11),디럭스,269023.0,0,269023,,"Front bumper:repair,coating"
as-0076500,44614,현대,아반떼,아반떼AD(16),1.6 GDI 스마트,318499.0,0,318499,Front bumper,"Front bumper:repair,coating"
as-0076525,44627,현대,쏘나타,LF 쏘나타,2.0 CVVL SMART,299131.0,0,299131,,"Front bumper:repair,coating"
as-0076536,44632,현대,그랜저,그랜져IG(17),가솔린 3.0 익스 스페셜,348298.0,0,348298,Front bumper,"Front bumper:repair,coating"
as-0076557,44644,기아,모닝,올 뉴 모닝(11),럭셔리,280039.0,0,280039,,"Front bumper:repair,coating"
as-0076581,44659,현대,스타렉스,그랜드스타렉스 5밴,5인승(CVX),431743.0,0,431743,,"Front bumper:repair,coating"
as-0076629,44687,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 럭셔리,146610.0,0,146610,,Wheel:exchange;Wheel:exchange
as-0076636,44691,기아,카니발,올뉴카니발(14),노블레스(11인승),370893.0,0,370893,,"Front bumper:repair,coating"
as-0076640,44694,기아,쏘렌토,올뉴쏘렌토,R2.0 럭셔리,324739.0,0,324739,"Front fender,Front bumper","Front bumper:repair,coating"
as-0076678,44719,현대,아반떼,아반떼AD(16),1.6 GDI 스마트,346766.0,0,346766,,"Front bumper:repair,coating"
as-0076723,44749,한국GM,스파크,스파크(마티즈크리에이티브),LS,317949.0,0,317949,Front bumper,"Front bumper:repair,coating"
as-0076774,44779,기아,K5,K5(15),가솔린 2.0 럭셔리,321106.0,0,321106,,"Front bumper:repair,coating"
as-0076785,44787,현대,아반떼,아반떼AD(16),1.6 GDI 스마트,287136.0,0,287136,Front bumper,"Front bumper:repair,coating"
as-0076811,44804,현대,아반떼,아반떼MD(13),1.6 GDI,304791.0,0,304791,Front bumper,"Front bumper:repair,coating"
as-0076903,44859,현대,EQ900,EQ900,5.0 GDI 프레스티지L,391568.0,0,391568,Front bumper,"Front bumper:repair,coating"
as-0076968,44896,현대,싼타페,싼타페DM,디젤2.0 2WD(2015),161440.0,0,161440,Rear fender,Wheel:exchange
as-0076983,44906,현대,그랜저,HG그랜져,HG 240,342817.0,0,342817,,"Front bumper:repair,coating"
as-0077028,44933,현대,EQ900,EQ900,3.8 GDI 프리미엄럭셔리,421494.0,0,421494,Front bumper,"Front bumper:repair,coating"
as-0077101,44972,현대,싼타페,싼타페DM,디젤 2.0 4WD,637160.0,0,637160,,"Front bumper:sheet_metal,exchange,coating"
as-0077118,44985,쌍용,코란도,코란도 C,CLUBBY,280680.0,326000,606680,,Wheel:exchange;Wheel:exchange
as-0077141,45001,현대,투싼,올뉴투싼,R2.0 모던,314033.0,0,314033,,"Front bumper:repair,coating"
as-0077178,45029,르노삼성,SM5,SM5(10),SE,382355.0,0,382355,Trunk lid,"Front bumper:repair,coating"
as-0077179,45030,기아,카니발,뉴카니발9인승(06),리무진,353106.0,0,353106,,"Front bumper:repair,coating"
as-0077220,45056,기아,K3,K3,럭셔리,443082.0,0,443082,"Head lights,Front bumper","Front bumper:repair,coating"
as-0077226,45061,현대,아반떼,아반떼AD(16),1.6 GDI 스마트,334406.0,0,334406,Front bumper,"Front bumper:repair,coating"
as-0077294,45105,현대,그랜저,HG그랜져,HG 240 (15),374107.0,0,374107,Front bumper,"Front bumper:repair,coating"
as-0077322,45125,현대,G80,제네시스(14),G330 Premium,124010.0,216363,340373,,Wheel:exchange
as-0077336,45134,현대,투싼,올뉴투싼,UⅡ 1.7 스타일,453598.0,410500,864098,,"Front bumper:repair,coating"
as-0077430,45188,현대,투싼,올뉴투싼,UⅡ 1.7 모던,264976.0,0,264976,Front bumper,"Front bumper:repair,coating"
as-0077528,45255,쌍용,티볼리,티볼리,LX (디젤),368206.0,0,368206,Front bumper,"Front bumper:repair,coating"
as-0077537,45259,현대,스타렉스,그랜드스타렉스 3밴,3인승(CVX),531138.0,0,531138,,"Front bumper:repair,coating"
as-0077677,45345,쌍용,코란도,코란도스포츠,CX5 (2WD),461866.0,0,461866,Front bumper,"Front bumper:repair,coating"
as-0077683,45349,현대,그랜저,그랜져IG(17),가솔린 2.4 프리미엄,379188.0,0,379188,,"Front bumper:repair,coating"
as-0077746,45390,현대,그랜저,HG그랜져,HG 240,280240.0,0,280240,,"Front bumper:sheet_metal,exchange,coating"
as-0077756,45399,기아,모닝,올 뉴 모닝(11),스마트,260358.0,0,260358,,"Front bumper:repair,coating"
as-0077777,45411,기아,쏘렌토,올뉴쏘렌토,R2.2 디젤 럭셔리,342137.0,0,342137,Front bumper,"Front bumper:repair,coating"
as-0077823,45443,기아,K3,K3,럭셔리,399989.0,0,399989,,"Front bumper:repair,coating"
as-0077867,45470,현대,쏘나타,YF 쏘나타,Y20 Prime,326079.0,0,326079,Rear bumper,"Front bumper:repair,coating"
as-0077871,45473,현대,스타렉스,그랜드스타렉스 5밴(15),디젤 스마트,445235.0,0,445235,,"Front bumper:repair,coating"
as-0077941,45514,현대,스타렉스,그랜드스타렉스 5밴(15),디젤 스마트,457578.0,0,457578,Front bumper,"Front bumper:repair,coating"
as-0077944,45517,현대,아반떼,아반떼AD(16),1.6 GDI 스마트,321176.0,0,321176,Front bumper,"Front bumper:repair,coating"
as-0077962,45530,현대,쏘나타,LF 쏘나타,2.0 CVVL PREMIUM,375238.0,0,375238,,"Front bumper:repair,coating"
as-0077982,45544,기아,모하비,모하비(16),노블레스(2WD),536956.0,0,536956,Rear bumper,"Front bumper:repair,coating"
as-0078005,45561,기아,K3,K3,프레스티지,388815.0,0,388815,Front bumper,"Front bumper:repair,coating"
as-0078070,45602,현대,G80,G80(16),3.3 프리미엄 럭셔리,503667.0,0,503667,,"Front bumper:repair,coating"
as-0078100,45621,기아,K7,K7,GDI 2.4,404401.0,0,404401,"Rear bumper,Trunk lid","Front bumper:repair,coating"
as-0078214,45688,현대,투싼,올뉴투싼(15),UⅡ 1.7 프리미엄,330351.0,0,330351,Front bumper,"Front bumper:repair,coating"
as-0078237,45703,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 프레스티지,990257.0,0,990257,Rear bumper,Front bumper:repair;Bumper:coating
as-0078245,45709,기아,카니발,올뉴카니발(14),2.2디젤노블레스(9인승),516537.0,0,516537,Front bumper,"Front bumper:repair,coating"
as-0078294,45741,르노삼성,QM6,QM6,LE,838245.0,0,838245,,"Front bumper:repair,coating"
as-0078360,45785,현대,투싼,올뉴투싼(15),R2.0 스타일,384296.0,0,384296,Front bumper,"Front bumper:repair,coating"
