category_id,cnt,maker,model,detail,model_detail,cost_wages,cost_repairparts,cost_total,part,repair
as-0000034,21,기아,K5,K5(18),가솔린 2.0 인텔리젼트,282728.0,0,282728,,"Front bumper:repair,coating"
as-0000037,23,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 디럭스,267178.0,0,267178,Front bumper,"Front bumper:repair,coating"
as-0000208,122,기아,카니발,올뉴카니발(14),노블레스(11인승),568110.0,0,568110,,"Bumper:repair;Front bumper:repair,coating"
as-0000291,171,현대,G80,G80(16),3.3 스포즈,621294.0,0,621294,,"Front bumper:repair,coating"
as-0000320,190,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,268716.0,0,268716,,"Front bumper:repair,coating"
as-0000347,203,현대,그랜저,그랜져IG(17),가솔린 3.0 익스,298016.0,0,298016,,"Front bumper:repair,coating"
as-0000348,204,기아,K5,K5(15),가솔린 2.0 프레스티지,310916.0,0,310916,,"Front bumper:repair,coating"
as-0000634,354,기아,모닝,올 뉴 모닝(11),럭셔리,190258.0,0,190258,,Front bumper:coating
as-0000664,371,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,280246.0,0,280246,,"Front bumper:repair,coating"
as-0000716,396,현대,스타렉스,그랜드스타렉스 5밴,5인승(CVX),338096.0,0,338096,,"Front bumper:repair,coating"
as-0000720,399,한국GM,말리부,올뉴말리부(2017),1.5 터보 LTZ,315966.0,0,315966,Front bumper,"Front bumper:repair,coating"
as-0000721,400,현대,그랜저,그랜져IG(17),가솔린 2.4 프리미엄 스페셜,313136.0,0,313136,,"Front bumper:repair,coating"
as-0000731,404,현대,쏘나타,LF 쏘나타,2.0 CVVL PREMIUM,267616.0,0,267616,,"Front bumper:repair,coating"
as-0000782,433,현대,그랜저,HG그랜져,HG 240 (15),285098.0,0,285098,,Front bumper:coating
as-0000806,448,현대,투싼,올뉴투싼,R2.0 모던,306056.0,11400,317456,,"Front bumper:repair,coating"
as-0000960,525,기아,K3,K3(4도어)(16),프레스티지(가솔린),290546.0,0,290546,,"Front bumper:repair,coating"
as-0001093,616,기아,모닝,올뉴모닝(15),럭셔리,240316.0,0,240316,,"Front bumper:repair,coating"
as-0001182,668,현대,EQ900,EQ900,3.8 GDI 프레스티지,502864.0,0,502864,,"Front bumper:repair,coating"
as-0001187,672,기아,스포티지,스포티지(16),노블레스 2.0,317218.0,0,317218,,Front bumper:coating
as-0001262,722,현대,그랜저,HG그랜져,HG 300,318138.0,0,318138,,Front bumper:coating
as-0001268,726,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 프레스티지,266237.0,0,266237,,Front bumper:repair;Bumper:coating
as-0001310,746,기아,모닝,올뉴모닝(17),레이디,155398.0,0,155398,,Front bumper:coating
as-0001334,758,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,238339.0,0,238339,Front bumper,"Bumper:coating,exchange"
as-0001369,781,기아,K3,K3(18),노블레스,314569.0,0,314569,,Bumper:coating
as-0001372,783,현대,쏘나타,LF 쏘나타 뉴라이즈,2.0 모던,372582.0,0,372582,,"Front bumper:repair,coating"
as-0001376,786,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,261179.0,0,261179,,Bumper:coating
as-0001405,800,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,420079.0,0,420079,,Bumper:coating
as-0001416,807,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,309469.0,0,309469,,"Bumper:coating,exchange"
as-0001417,808,기아,K3,K3(18),프레스티지,225029.0,0,225029,,"Bumper:coating,exchange"
as-0001440,824,현대,싼타페,싼타페DM,디젤 2.2 2WD,468126.0,0,468126,,"Bumper:repair;Front bumper:repair,coating"
as-0001478,845,현대,아반떼,아반떼AD(16),1.6 GDI 모던,224799.0,0,224799,Rear bumper,"Bumper:coating,exchange"
as-0001498,857,기아,스포티지,스포티지(16),노블레스 2.0,389756.0,0,389756,Front bumper,"Front bumper:repair,coating"
as-0001580,908,기아,모닝,올뉴모닝(17),터보프레스티지,326823.0,0,326823,,"Front bumper:repair,coating"
as-0001592,917,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 프레스티지,301937.0,0,301937,Front bumper,Front bumper:repair;Bumper:coating
as-0001595,919,기아,쏘렌토,올뉴쏘렌토(18),2.2 디젤 노블레스 스페셜,363786.0,0,363786,,"Front bumper:repair,coating"
as-0001611,932,기아,K3,K3(18),노블레스,300649.0,0,300649,Front bumper,"Bumper:coating,exchange"
as-0001630,948,기아,K3,K3(18),노블레스,374009.0,0,374009,,Bumper:coating
as-0001638,952,현대,쏘나타,LF 쏘나타 뉴라이즈,2.0 모던,402846.0,0,402846,,"Front bumper:repair,coating"
as-0001642,954,현대,쏘나타,LF 쏘나타,2.0 CVVL PREMIUM,483177.0,0,483177,,"Front bumper:repair;Bumper:coating,exchange"
as-0001676,978,기아,모닝,올뉴모닝(15),럭셔리,247998.0,0,247998,,Front bumper:coating
as-0001693,984,기아,K3,K3(18),프레스티지,831127.0,0,831127,,Front bumper:repair;Bumper:coating
as-0001703,992,쌍용,티볼리,티볼리,LX (가솔린 고급형),748666.0,0,748666,Bonnet,"Front bumper:repair,coating"
as-0001714,999,현대,그랜저,그랜져IG(17),가솔린 2.4 프리미엄,404736.0,0,404736,,"Front bumper:repair,coating"
as-0001716,1001,기아,니로,니로EV(19),노블레스,358819.0,0,358819,,"Bumper:coating,exchange"
as-0001733,1014,현대,아반떼,아반떼AD(16),1.6 GDI 모던,392049.0,0,392049,,"Bumper:coating,exchange"
as-0001751,1027,기아,K7,K7,VG 270 택시,332158.0,0,332158,,Front bumper:coating
as-0001773,1041,현대,싼타페,싼타페TM(18),디젤2.2 인스퍼레이션,295729.0,0,295729,,Bumper:coating
as-0001794,1054,기아,K5,K5(15),가솔린 2.0 노블레스,420729.0,0,420729,,"Front bumper:repair,coating"
as-0001798,1056,기아,카니발,올뉴카니발(14),2.2디젤노블레스(9인승),412376.0,0,412376,,"Front bumper:repair,coating"
as-0001800,1058,현대,그랜저,그랜져IG(17),가솔린 2.4 프리미엄 스페셜,403808.0,0,403808,,Front bumper:coating
as-0001837,1077,기아,스토닉,스토닉,1.6 디젤 프레스티지,610833.0,200000,810833,Front bumper,"Bumper:coating,exchange"
as-0001873,1098,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,233549.0,0,233549,,Bumper:coating
as-0001877,1101,현대,쏘나타,LF 쏘나타 뉴라이즈,1.6 모던,305358.0,0,305358,,Front bumper:coating
as-0001899,1115,기아,니로,니로,프레스티지,433896.0,0,433896,,"Front bumper:repair,coating"
as-0001917,1130,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,259289.0,0,259289,,"Bumper:coating,exchange"
as-0001923,1135,현대,쏘나타,쏘나타(19),G2.0,874969.0,0,874969,,"Bumper:coating,exchange"
as-0001927,1139,현대,벨로스터,벨로스터(17),1.6 스포츠 코어,332436.0,0,332436,,"Front bumper:repair,coating"
as-0001940,1150,현대,아반떼,아반떼AD(16),1.6 GDI 스마트,335487.0,0,335487,Front bumper,Front bumper:repair;Bumper:coating
as-0001941,1151,기아,카니발,올뉴카니발(14),2.2디젤노블레스(9인승),368718.0,0,368718,,Front bumper:coating
as-0001955,1161,기아,셀토스,셀토스(19),1.6가솔린터보 노블레스,244239.0,0,244239,,"Bumper:coating,exchange"
as-0001992,1186,현대,싼타페,싼타페(15),디젤2.0  익스 스페셜,298089.0,0,298089,Front bumper,"Bumper:coating,exchange"
as-0001996,1190,기아,쏘렌토,올뉴쏘렌토,R2.2 디젤 프레스티지,361507.0,0,361507,,Front bumper:repair;Bumper:coating
as-0002010,1202,현대,스타렉스,그랜드스타렉스 3밴(15),디젤 모던,214139.0,0,214139,,"Bumper:coating,exchange"
as-0002023,1213,기아,쏘렌토,올뉴쏘렌토(18),마스터(2.2디젤),346946.0,0,346946,,"Front bumper:repair,coating"
as-0002037,1222,기아,K3,K3(18),노블레스,313987.0,0,313987,,Front bumper:repair;Bumper:coating
as-0002083,1253,현대,싼타페,싼타페(15),디젤2.0  익스클루시브,275189.0,0,275189,Front bumper,"Bumper:coating,exchange"
as-0002119,1276,현대,아반떼,아반떼AD(16),1.6 GDI 모던,400037.0,0,400037,Front bumper,Front bumper:repair;Bumper:coating
as-0002122,1277,기아,쏘렌토,올뉴쏘렌토,R2.2 디젤 노블레스,210479.0,0,210479,,"Bumper:coating,exchange"
as-0002135,1282,현대,그랜저,그랜져IG(17),가솔린 2.4 프리미엄 스페셜,404736.0,0,404736,,"Front bumper:repair,coating"
as-0002140,1286,기아,셀토스,셀토스(19),1.6가솔린터보 트랜디,333119.0,129600,462719,,"Bumper:coating,exchange"
as-0002150,1290,한국GM,스파크,더넥스트스파크,LTZ,392957.0,0,392957,Front bumper,Front bumper:repair;Bumper:coating
as-0002185,1314,기아,K7,올 뉴 K7,2.4 GDI 프레스티지,390886.0,0,390886,,"Front bumper:repair,coating"
as-0002230,1337,현대,싼타페,싼타페(15),디젤2.0  익스 스페셜,555667.0,0,555667,,Front bumper:repair;Bumper:coating
as-0002247,1347,기아,스포티지,스포티지(16),노블레스 2.0,383376.0,0,383376,Front bumper,"Front bumper:repair,coating"
as-0002253,1349,기아,니로,니로EV(19),노블레스,473409.0,0,473409,,"Bumper:coating,exchange"
as-0002263,1354,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,323617.0,0,323617,,Front bumper:repair;Bumper:coating
as-0002312,1375,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,263719.0,0,263719,,"Bumper:coating,exchange"
as-0002345,1392,기아,K7,올 뉴 K7,2.4 GDI 프레스티지,401836.0,0,401836,,"Front bumper:repair,coating"
as-0002350,1395,현대,펠리세이드,팰리세이드(19),익스클루시브 디젤,323439.0,0,323439,,"Bumper:coating,exchange"
as-0002387,1420,한국GM,스파크,더넥스트스파크,LTZ,351157.0,0,351157,,"Front bumper:repair;Bumper:coating,exchange"
as-0002393,1423,기아,니로,니로EV(19),노블레스,391089.0,0,391089,,"Bumper:coating,exchange"
as-0002405,1430,현대,싼타페,싼타페TM(18),가솔린2.0 T,875449.0,0,875449,,Bumper:coating
as-0002421,1440,현대,싼타페,싼타페DM,디젤 2.0 2WD,374769.0,0,374769,,"Bumper:coating,exchange"
as-0002432,1444,현대,G80,G80(16),디젤 프리미엄럭셔리,969969.0,0,969969,"Front door,Front fender",Bumper:coating
as-0002445,1452,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,582509.0,0,582509,"Head lights,Front bumper","Bumper:coating,exchange"
as-0002472,1467,현대,아반떼,아반떼(20)-CN7,1.6가솔린 인스퍼레이션,346117.0,0,346117,,Front bumper:repair;Bumper:coating
as-0002515,1490,현대,그랜저,그랜저IG(17),가솔린 2.4 프리미엄,603769.0,0,603769,"Front fender,Front bumper","Bumper:coating,exchange"
as-0002523,1496,현대,쏘나타,쏘나타(19),G1.6 센슈어스,638727.0,0,638727,Front bumper,Front bumper:repair;Bumper:coating
as-0002526,1498,기아,모하비,모하비(16),프레지던트(4WD),546639.0,0,546639,Front bumper,"Front bumper:repair,coating"
as-0002555,1512,기아,모닝,올뉴모닝(17),프레스티지,333177.0,0,333177,,Front bumper:repair;Bumper:coating
as-0002568,1520,현대,싼타페,싼타페DM,디젤 2.0 4WD,491919.0,0,491919,,"Bumper:coating,exchange"
as-0002592,1534,현대,G80,G80(16),3.3 프리미엄 럭셔리,473217.0,0,473217,,Front bumper:repair;Bumper:coating
as-0002593,1535,현대,G80,G80(16),3.3 프리미엄 럭셔리,597229.0,0,597229,,Bumper:coating
as-0002623,1554,기아,쏘렌토,올뉴쏘렌토(18),마스터(2.2디젤),419716.0,0,419716,Front bumper,"Front bumper:repair,coating"
as-0002627,1557,현대,G80,G80(16),3.3 프리미엄 럭셔리,465297.0,0,465297,,Front bumper:repair;Bumper:coating
as-0002637,1562,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,304209.0,0,304209,Front bumper,"Bumper:coating,exchange"
as-0002640,1564,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,337559.0,0,337559,Front bumper,"Bumper:coating,exchange"
as-0002649,1570,현대,EQ900,EQ900,3.8 GDI 프레스티지,503077.0,0,503077,,Front bumper:repair;Bumper:coating
as-0002650,1571,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,4650.0,0,4650,Side mirror,Side mirror:exchange
as-0002664,1578,현대,싼타페,싼타페DM,디젤 2.0 2WD,478149.0,0,478149,Front bumper,Bumper:coating
as-0002667,1580,현대,쏘나타,LF 쏘나타,2.0 CVVL PREMIUM,380407.0,0,380407,,Front bumper:repair;Bumper:coating
as-0002679,1586,기아,셀토스,셀토스(19),1.6가솔린터보 노블레스,312179.0,0,312179,,"Bumper:coating,exchange"
as-0002685,1590,기아,K3,K3(18),프레스티지,350999.0,0,350999,,"Bumper:coating,exchange"
as-0002688,1592,현대,아반떼,아반떼AD(16),1.6 e-VGT 프리미엄,1012639.0,0,1012639,,"Bumper:coating,exchange"
as-0002700,1599,기아,모닝,올뉴모닝(15),럭셔리,285829.0,0,285829,Front bumper,"Bumper:coating,exchange"
as-0002729,1614,현대,i30,i30(2017),1.6 GDi 터보 NLine,355112.0,0,355112,Front bumper,"Front bumper:repair,coating"
as-0002731,1616,기아,스토닉,스토닉,1.6 디젤 디럭스,375357.0,0,375357,,Front bumper:repair;Bumper:coating
as-0002732,1617,현대,G80,G80(20)-RG3,가솔린 2.5 터보,511347.0,0,511347,,Front bumper:repair;Bumper:coating
as-0002734,1619,현대,싼타페,싼타페DM,디젤 2.0 2WD,294747.0,0,294747,,Front bumper:repair;Bumper:coating
as-0002749,1628,기아,카니발,올뉴카니발(14),2.2디젤노블레스(9인승),98600.0,0,98600,,Wheel:exchange
as-0002769,1638,현대,아반떼,아반떼AD(16),1.6 GDI 스타일,320869.0,0,320869,,"Bumper:coating,exchange"
as-0002779,1643,기아,K3,K3(18),럭셔리,344619.0,92000,436619,,"Bumper:coating,exchange"
as-0002949,1714,쌍용,티볼리,티볼리,VX (가솔린),276198.0,0,276198,,"Front bumper:repair,coating"
as-0002993,1735,기아,카니발,올뉴카니발(14),노블레스(9인승),305118.0,0,305118,Front bumper,"Front bumper:repair,coating"
as-0003132,1824,기아,모닝,올뉴모닝(15),럭셔리,244511.0,0,244511,,"Front bumper:repair,coating"
as-0003134,1826,현대,투싼,올뉴투싼(15),R2.0 스타일,320801.0,0,320801,,"Front bumper:repair,coating"
as-0003181,1863,기아,스팅어,스팅어(17),3.3 터보 GT,416981.0,0,416981,,"Front bumper:repair,coating"
as-0003186,1868,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,553539.0,0,553539,Bonnet,"Bumper:coating,exchange"
as-0003202,1877,기아,모닝,올뉴모닝(17),레이디,288381.0,0,288381,,"Front bumper:repair,coating"
as-0003228,1894,기아,레이,레이(18),가솔린 럭셔리,341101.0,0,341101,,"Front bumper:repair,coating"
as-0003230,1895,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,406919.0,0,406919,,"Bumper:coating,exchange"
as-0003259,1913,기아,카니발,올뉴카니발(14),2.2디젤노블레스(9인승),390751.0,0,390751,,"Front bumper:repair,coating"
as-0003260,1914,기아,쏘렌토,올뉴쏘렌토(18),2.0 디젤 노블레스,390501.0,0,390501,,"Front bumper:repair,coating"
as-0003265,1918,기아,K9,K9(18),3.8GDi 플레티넘Ⅲ,810299.0,0,810299,,Bumper:coating
as-0003273,1922,기아,K7,올 뉴 K7,3.3 GDI 노블레스,388846.0,0,388846,Rear bumper,"Front bumper:repair,coating"
as-0003281,1928,기아,모닝,올뉴모닝(17),럭셔리,327811.0,0,327811,,"Front bumper:repair,coating"
as-0003291,1932,기아,니로,니로EV(19),노블레스,412189.0,0,412189,,Bumper:coating
as-0003335,1958,기아,스토닉,스토닉,1.6 디젤 트랜디,414119.0,0,414119,,"Bumper:coating,exchange"
as-0003336,1959,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,340599.0,0,340599,Front bumper,"Bumper:coating,exchange"
as-0003341,1963,기아,K3,K3(18),럭셔리,566399.0,0,566399,Front bumper,"Bumper:coating,exchange"
as-0003360,1976,기아,스포티지,스포티지(16),노블레스 2.0,54940.0,0,54940,,Wheel:exchange;Wheel:exchange
as-0003370,1982,기아,카니발,올뉴카니발(14),3.3가솔린노블레스(9인승),433966.0,0,433966,,"Front bumper:repair,coating"
as-0003394,1993,기아,K7,올 뉴 K7,2.4 GDI 프레스티지,429850.0,0,429850,,"Front bumper:repair,coating"
as-0003523,2044,기아,K9,K9,3.8 GDI 노블레스,325718.0,0,325718,,"Front bumper:repair,coating"
as-0003544,2055,기아,니로,니로,프레스티지,284088.0,0,284088,,Front bumper:coating
as-0003725,2137,기아,스포티지,스포티지(16),노블레스 2.0,455388.0,0,455388,,"Front bumper:repair,coating"
as-0003766,2160,현대,그랜저,HG그랜져,HG 300,233328.0,0,233328,,Front bumper:coating
as-0003776,2167,기아,니로,니로,프레스티지,287238.0,0,287238,Front bumper,"Front bumper:repair,coating"
as-0003889,2226,기아,모닝,올 뉴 모닝(11),디럭스,215778.0,0,215778,Front bumper,"Front bumper:repair,coating"
as-0003944,2256,현대,그랜저,HG그랜져,HG 300,300061.0,0,300061,,"Front bumper:repair,coating"
as-0003945,2257,기아,K5,K5(15),가솔린 2.0 프레스티지,277626.0,0,277626,,"Front bumper:repair,coating"
as-0003990,2278,기아,쏘렌토,올뉴쏘렌토,R2.0 프레스티지,458721.0,0,458721,,"Front bumper:repair,coating"
as-0004079,2337,기아,카니발,올뉴카니발(14),2.2디젤노블레스(9인승),674641.0,0,674641,Front bumper,"Front bumper:repair,coating"
as-0004175,2386,기아,K7,K7,GDI 2.4,276051.0,0,276051,,"Front bumper:repair,coating"
as-0004176,2387,기아,니로,니로,프레스티지,324091.0,0,324091,,"Front bumper:repair,coating"
as-0004185,2393,기아,니로,니로,프레스티지,288791.0,0,288791,,"Front bumper:repair,coating"
as-0004281,2452,기아,모닝,올뉴모닝(17),럭셔리,247036.0,0,247036,Front bumper,"Front bumper:repair,coating"
as-0004301,2464,현대,스타렉스,그랜드스타렉스 웨건,12인승(CVX),349351.0,0,349351,,"Front bumper:repair,coating"
as-0004315,2476,한국GM,말리부,올뉴말리부(2017),1.5 터보 LTZ,321841.0,0,321841,,"Front bumper:repair,coating"
as-0004337,2487,기아,모닝,올뉴모닝(17),레이디,361141.0,0,361141,Front bumper,"Front bumper:repair,coating"
as-0004371,2509,기아,K3,K3(4도어)(16),노블레스(가솔린),324906.0,0,324906,,"Front bumper:repair,coating"
as-0004372,2510,한국GM,스파크,스파크(마티즈크리에이티브),GROOVE,302861.0,0,302861,,"Front bumper:repair,coating"
as-0004375,2512,기아,레이,레이,1.0 가솔린 럭셔리,321811.0,0,321811,,"Front bumper:repair,coating"
as-0004434,2550,기아,모하비,모하비,JV380 (2WD),392391.0,0,392391,,"Front bumper:repair,coating"
as-0004452,2562,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 프레스티지,380907.0,0,380907,Front bumper,Front bumper:repair;Bumper:coating
as-0004453,2563,기아,모닝,올뉴모닝(15),럭셔리,326361.0,0,326361,,"Front bumper:repair,coating"
as-0004457,2565,기아,니로,니로,프레스티지,454001.0,0,454001,,"Front bumper:repair,coating"
as-0004464,2571,기아,K7,올 뉴 K7,3.3 GDI 노블레스,402071.0,0,402071,,"Front bumper:repair,coating"
as-0004535,2605,기아,K7,올 뉴 K7,2.4 GDI 프레스티지,371771.0,0,371771,,"Front bumper:repair,coating"
as-0004546,2612,기아,K3,K3(18),럭셔리,439609.0,0,439609,,Bumper:coating
as-0004555,2618,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,546029.0,0,546029,,"Bumper:coating,exchange"
as-0004591,2641,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,349119.0,0,349119,,"Bumper:coating,exchange"
as-0004604,2653,기아,모닝,올뉴모닝(17),레이디,302461.0,0,302461,Front bumper,"Front bumper:repair,coating"
as-0004616,2659,기아,K5,K5(15),가솔린 2.0 럭셔리,381371.0,0,381371,,"Front bumper:repair,coating"
as-0004636,2673,기아,K7,올 뉴 K7,2.4 GDI 프레스티지,371771.0,0,371771,,"Front bumper:repair,coating"
as-0004653,2681,기아,모닝,올뉴모닝(15),디럭스,574897.0,0,574897,"Front fender,Front bumper",Front bumper:repair;Bumper:coating
as-0004722,2728,현대,아반떼,아반떼AD(16),1.6 GDI 프리미엄,440199.0,0,440199,"Head lights,Front bumper","Bumper:coating,exchange"
as-0004737,2737,현대,아반떼,아반떼AD(16),1.6 GDI 모던,323589.0,0,323589,,Bumper:coating
as-0004740,2739,기아,K3,K3(18),럭셔리,329939.0,0,329939,Trunk lid,Bumper:coating
as-0004743,2741,기아,카니발,올뉴카니발(14),2.2디젤노블레스(9인승),416391.0,0,416391,,"Front bumper:repair,coating"
as-0004744,2742,기아,레이,레이,1.0 가솔린 럭셔리,321811.0,0,321811,,"Front bumper:repair,coating"
as-0004755,2747,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 럭셔리,273240.0,0,273240,,Wheel:exchange
as-0004758,2748,기아,스포티지,스포티지(16),노블레스 2.0,324091.0,0,324091,,"Front bumper:repair,coating"
as-0004759,2749,기아,K3,K3(18),프레스티지,432909.0,0,432909,,"Bumper:coating,exchange"
as-0004760,2750,기아,K3,K3(18),프레스티지,432909.0,0,432909,,"Bumper:coating,exchange"
as-0004767,2754,기아,K3,K3(18),노블레스,303849.0,0,303849,,"Bumper:coating,exchange"
as-0004789,2770,기아,K3,K3(4도어)(16),트랜디(가솔린),318266.0,0,318266,,"Front bumper:repair,coating"
as-0004797,2775,기아,모하비,모하비,JV300 (4WD),429211.0,0,429211,Front bumper,"Front bumper:repair,coating"
as-0004805,2779,기아,모닝,올뉴모닝(17),레이디,243771.0,0,243771,,"Front bumper:repair,coating"
as-0004809,2780,기아,쏘렌토,뉴쏘렌토R(13),2.0 디젤 4WD (5인승),324321.0,0,324321,,"Front bumper:repair,coating"
as-0004811,2782,기아,K3,K3(18),노블레스,930319.0,0,930319,,"Bumper:coating,exchange"
as-0004825,2792,기아,스팅어,스팅어(17),3.3 터보 마스터즈,389791.0,0,389791,,"Front bumper:repair,coating"
as-0004830,2796,기아,모닝,올 뉴 모닝(11),디럭스,335669.0,0,335669,,Bumper:coating
as-0004857,2816,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,615919.0,0,615919,,"Bumper:coating,exchange"
as-0004909,2852,기아,카니발,올뉴카니발(14),2.2디젤노블레스(9인승),377956.0,0,377956,Front bumper,"Front bumper:repair,coating"
as-0004918,2859,기아,모닝,올뉴모닝(17),레이디,302461.0,0,302461,,"Front bumper:repair,coating"
as-0004923,2862,현대,그랜저,그랜져IG(17),가솔린 2.4 프리미엄 스페셜,385621.0,0,385621,,"Front bumper:repair,coating"
as-0004937,2874,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 프레스티지,479969.0,0,479969,Trunk lid,"Bumper:coating,exchange"
as-0004940,2877,기아,K7,올 뉴 K7,3.0 GDi 프레스티지,402071.0,0,402071,,"Front bumper:repair,coating"
as-0004945,2880,기아,스포티지,스포티지(16),노블레스 1.7,415414.0,0,415414,,"Front bumper:repair,coating"
as-0004958,2888,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,501079.0,0,501079,,"Bumper:coating,exchange"
as-0004981,2905,기아,스토닉,스토닉,1.6 디젤 트랜디,203859.0,0,203859,,"Bumper:coating,exchange"
as-0004997,2915,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,796189.0,0,796189,,"Bumper:coating,exchange"
as-0004998,2916,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,796189.0,0,796189,,"Bumper:coating,exchange"
as-0005012,2923,기아,K7,올 뉴 K7,3.3 GDI 노블레스,386771.0,0,386771,,"Front bumper:repair,coating"
as-0005027,2931,기아,모하비,모하비,KV300 (4WD),416522.0,0,416522,Front bumper,"Front bumper:coating,exchange;Bumper:exchange"
as-0005028,2932,기아,카니발,올뉴카니발(14),2.2디젤노블레스(9인승),412476.0,0,412476,,"Front bumper:repair,coating"
as-0005044,2945,기아,K3,K3,럭셔리,429710.0,0,429710,,"Front bumper:repair,coating"
as-0005051,2950,기아,쏘렌토,올뉴쏘렌토,R2.0 디젤 노블레스,579839.0,0,579839,"Bonnet,Front bumper","Bumper:coating,exchange"
as-0005052,2951,기아,카니발,올뉴카니발(14),3.3가솔린노블레스(9인승),466584.0,0,466584,,"Front bumper:repair,coating"
as-0005053,2952,기아,K3,K3(18),럭셔리,612539.0,0,612539,Front bumper,"Bumper:coating,exchange"
as-0005056,2955,쌍용,코란도,코란도 C,CLUBBY,322836.0,0,322836,Front bumper,"Front bumper:repair,coating"
as-0005092,2975,기아,셀토스,셀토스(19),1.6디젤 트랜디,439817.0,0,439817,,Front bumper:repair;Bumper:coating
as-0005109,2989,기아,모닝,올 뉴 모닝(11),럭셔리,697199.0,0,697199,"Bonnet,Front bumper","Bumper:coating,exchange"
as-0005122,2997,기아,스팅어,스팅어(17),2.0 터보 프라임,764416.0,0,764416,Front bumper,"Front bumper:repair,coating"
as-0005132,3004,기아,K5,K5(18),가솔린 2.0 인텔리젼트,402876.0,0,402876,,"Front bumper:repair,coating"
as-0005150,3014,현대,쏘나타,LF 쏘나타,2.0 CVVL PREMIUM,386497.0,0,386497,,Front bumper:repair;Bumper:coating
as-0005152,3015,기아,K3,K3(18),프레스티지,404719.0,0,404719,,"Bumper:coating,exchange"
as-0005168,3025,기아,K7,올 뉴 K7,2.4 GDI 프레스티지,435286.0,0,435286,Front bumper,"Front bumper:repair,coating"
as-0005203,3046,기아,카니발,올뉴카니발(14),3.3가솔린노블레스(9인승),421528.0,0,421528,,"Front bumper:repair,coating"
as-0005205,3048,기아,니로,니로EV(19),프레스티지,476237.0,0,476237,Front bumper,Front bumper:repair;Bumper:coating
as-0005208,3050,현대,쏘나타,LF 쏘나타,2.0 CVVL PREMIUM,386497.0,0,386497,,Front bumper:repair;Bumper:coating
as-0005219,3058,기아,스포티지,스포티지(16),노블레스 2.0,469487.0,0,469487,,Front bumper:repair;Bumper:coating
as-0005227,3064,기아,모닝,올뉴모닝(15),디럭스,899427.0,0,899427,"Front fender,Front bumper",Front bumper:repair;Bumper:coating
as-0005229,3066,기아,K7,올 뉴 K7,2.4 GDI 프레스티지,445657.0,0,445657,Front bumper,Front bumper:repair;Bumper:coating
as-0005235,3069,기아,카니발,올뉴카니발(14),2.2디젤노블레스(9인승),803197.0,0,803197,Front bumper,Front bumper:repair;Bumper:coating
as-0005251,3080,기아,모닝,올 뉴 모닝(11),럭셔리,403529.0,0,403529,"Front fender,Front bumper","Bumper:coating,exchange"
as-0005253,3082,기아,셀토스,셀토스(19),1.6가솔린터보 노블레스,432607.0,0,432607,,Front bumper:repair;Bumper:coating
as-0005255,3083,기아,스포티지,스포티지(16),프레스티지 2.0,423927.0,0,423927,Front bumper,Front bumper:repair;Bumper:coating
as-0005281,3095,기아,K7,올 뉴 K7,2.4 GDI 프레스티지,445657.0,0,445657,Front bumper,Front bumper:repair;Bumper:coating
as-0005291,3103,기아,니로,니로,노블레스,409180.0,0,409180,Front bumper,"Front bumper:repair,coating"
as-0005308,3115,기아,레이,레이,1.0 가솔린 디럭스,23240.0,0,23240,Front bumper,Side mirror:exchange
as-0005348,3142,기아,K9,K9(18),3.8GDi 플레티넘Ⅱ,355169.0,0,355169,,"Bumper:coating,exchange"
